"est","ss","beta","measure","value"
1,30,"beta0","bias",-0.06
1,30,"beta0","sd",0.19
1,30,"beta0","rmse",0.19
1,30,"beta0","cp.unadj",0.95
1,30,"beta0","cp.adj",0.96
1,30,"beta1","bias",0.16
1,30,"beta1","sd",0.25
1,30,"beta1","rmse",0.3
1,30,"beta1","cp.unadj",0.91
1,30,"beta1","cp.adj",0.92
1,50,"beta0","bias",-0.06
1,50,"beta0","sd",0.14
1,50,"beta0","rmse",0.16
1,50,"beta0","cp.unadj",0.96
1,50,"beta0","cp.adj",0.96
1,50,"beta1","bias",0.16
1,50,"beta1","sd",0.2
1,50,"beta1","rmse",0.25
1,50,"beta1","cp.unadj",0.9
1,50,"beta1","cp.adj",0.9
1,100,"beta0","bias",-0.06
1,100,"beta0","sd",0.11
1,100,"beta0","rmse",0.12
1,100,"beta0","cp.unadj",0.94
1,100,"beta0","cp.adj",0.94
1,100,"beta1","bias",0.15
1,100,"beta1","sd",0.14
1,100,"beta1","rmse",0.21
1,100,"beta1","cp.unadj",0.84
1,100,"beta1","cp.adj",0.85
2,30,"beta0","bias",0
2,30,"beta0","sd",0.17
2,30,"beta0","rmse",0.17
2,30,"beta0","cp.unadj",0.94
2,30,"beta0","cp.adj",0.96
2,30,"beta1","bias",0.02
2,30,"beta1","sd",0.24
2,30,"beta1","rmse",0.25
2,30,"beta1","cp.unadj",0.94
2,30,"beta1","cp.adj",0.95
2,50,"beta0","bias",-0.01
2,50,"beta0","sd",0.13
2,50,"beta0","rmse",0.13
2,50,"beta0","cp.unadj",0.95
2,50,"beta0","cp.adj",0.96
2,50,"beta1","bias",0.01
2,50,"beta1","sd",0.19
2,50,"beta1","rmse",0.2
2,50,"beta1","cp.unadj",0.94
2,50,"beta1","cp.adj",0.95
2,100,"beta0","bias",0
2,100,"beta0","sd",0.1
2,100,"beta0","rmse",0.1
2,100,"beta0","cp.unadj",0.94
2,100,"beta0","cp.adj",0.94
2,100,"beta1","bias",0
2,100,"beta1","sd",0.14
2,100,"beta1","rmse",0.14
2,100,"beta1","cp.unadj",0.95
2,100,"beta1","cp.adj",0.95
3,30,"beta0","bias",-0.3
3,30,"beta0","sd",0.17
3,30,"beta0","rmse",0.35
3,30,"beta0","cp.unadj",0.62
3,30,"beta0","cp.adj",0.66
3,30,"beta1","bias",0.08
3,30,"beta1","sd",0.24
3,30,"beta1","rmse",0.25
3,30,"beta1","cp.unadj",0.95
3,30,"beta1","cp.adj",0.96
3,50,"beta0","bias",-0.3
3,50,"beta0","sd",0.14
3,50,"beta0","rmse",0.33
3,50,"beta0","cp.unadj",0.4
3,50,"beta0","cp.adj",0.43
3,50,"beta1","bias",0.07
3,50,"beta1","sd",0.19
3,50,"beta1","rmse",0.2
3,50,"beta1","cp.unadj",0.94
3,50,"beta1","cp.adj",0.94
3,100,"beta0","bias",-0.3
3,100,"beta0","sd",0.1
3,100,"beta0","rmse",0.32
3,100,"beta0","cp.unadj",0.12
3,100,"beta0","cp.adj",0.13
3,100,"beta1","bias",0.06
3,100,"beta1","sd",0.14
3,100,"beta1","rmse",0.15
3,100,"beta1","cp.unadj",0.94
3,100,"beta1","cp.adj",0.94
4,30,"beta0","bias",-0.3
4,30,"beta0","sd",0.17
4,30,"beta0","rmse",0.35
4,30,"beta0","cp.unadj",0.59
4,30,"beta0","cp.adj",0.62
4,30,"beta1","bias",0.08
4,30,"beta1","sd",0.24
4,30,"beta1","rmse",0.25
4,30,"beta1","cp.unadj",0.93
4,30,"beta1","cp.adj",0.95
4,50,"beta0","bias",-0.31
4,50,"beta0","sd",0.14
4,50,"beta0","rmse",0.33
4,50,"beta0","cp.unadj",0.39
4,50,"beta0","cp.adj",0.41
4,50,"beta1","bias",0.07
4,50,"beta1","sd",0.19
4,50,"beta1","rmse",0.2
4,50,"beta1","cp.unadj",0.93
4,50,"beta1","cp.adj",0.93
4,100,"beta0","bias",-0.3
4,100,"beta0","sd",0.1
4,100,"beta0","rmse",0.32
4,100,"beta0","cp.unadj",0.12
4,100,"beta0","cp.adj",0.12
4,100,"beta1","bias",0.06
4,100,"beta1","sd",0.14
4,100,"beta1","rmse",0.15
4,100,"beta1","cp.unadj",0.93
4,100,"beta1","cp.adj",0.93
